køn,bevægelsesart,område,aar,antal
Mænd,Befolkningen ultimo forrige år,Gentofte,2012,34181
Mænd,Befolkningen ultimo forrige år,Gentofte,2013,34664
Mænd,Befolkningen ultimo forrige år,Gentofte,2014,35111
Mænd,Befolkningen ultimo forrige år,Gentofte,2015,35381
Mænd,Befolkningen ultimo forrige år,Gentofte,2016,35748
Mænd,Befolkningen ultimo forrige år,Gentofte,2017,36047
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2006,29934
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2007,30122
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2008,30477
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2009,30862
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2010,31333
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2011,31789
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2012,32101
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2013,32464
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2014,32752
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2015,33137
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2016,33533
Mænd,Befolkningen ultimo forrige år,Gladsaxe,2017,34068
Mænd,Befolkningen ultimo forrige år,Glostrup,2006,9998
Mænd,Befolkningen ultimo forrige år,Glostrup,2007,9944
Mænd,Befolkningen ultimo forrige år,Glostrup,2008,10004
Mænd,Befolkningen ultimo forrige år,Glostrup,2009,10222
Mænd,Befolkningen ultimo forrige år,Glostrup,2010,10405
Mænd,Befolkningen ultimo forrige år,Glostrup,2011,10451
Mænd,Befolkningen ultimo forrige år,Glostrup,2012,10559
Mænd,Befolkningen ultimo forrige år,Glostrup,2013,10681
Mænd,Befolkningen ultimo forrige år,Glostrup,2014,10811
Mænd,Befolkningen ultimo forrige år,Glostrup,2015,11055
Mænd,Befolkningen ultimo forrige år,Glostrup,2016,11133
Mænd,Befolkningen ultimo forrige år,Glostrup,2017,11195
Mænd,Befolkningen ultimo forrige år,Herlev,2006,13091
Mænd,Befolkningen ultimo forrige år,Herlev,2007,12921
Mænd,Befolkningen ultimo forrige år,Herlev,2008,12830
Mænd,Befolkningen ultimo forrige år,Herlev,2009,12899
Mænd,Befolkningen ultimo forrige år,Herlev,2010,12859
Mænd,Befolkningen ultimo forrige år,Herlev,2011,12868
Mænd,Befolkningen ultimo forrige år,Herlev,2012,12910
Mænd,Befolkningen ultimo forrige år,Herlev,2013,13096
Mænd,Befolkningen ultimo forrige år,Herlev,2014,13449
Mænd,Befolkningen ultimo forrige år,Herlev,2015,13642
Mænd,Befolkningen ultimo forrige år,Herlev,2016,13763
Mænd,Befolkningen ultimo forrige år,Herlev,2017,13738
Mænd,Befolkningen ultimo forrige år,Hvidovre,2006,24265
Mænd,Befolkningen ultimo forrige år,Hvidovre,2007,24083
Mænd,Befolkningen ultimo forrige år,Hvidovre,2008,24139
Mænd,Befolkningen ultimo forrige år,Hvidovre,2009,24168
Mænd,Befolkningen ultimo forrige år,Hvidovre,2010,24300
Mænd,Befolkningen ultimo forrige år,Hvidovre,2011,24607
Mænd,Befolkningen ultimo forrige år,Hvidovre,2012,24882
Mænd,Befolkningen ultimo forrige år,Hvidovre,2013,25246
Mænd,Befolkningen ultimo forrige år,Hvidovre,2014,25556
Mænd,Befolkningen ultimo forrige år,Hvidovre,2015,25768
Mænd,Befolkningen ultimo forrige år,Hvidovre,2016,25983
Mænd,Befolkningen ultimo forrige år,Hvidovre,2017,26087
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2006,22965
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2007,23241
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2008,23483
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2009,23611
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2010,23733
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2011,23786
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2012,23909
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2013,24116
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2014,24282
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2015,24560
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2016,24972
Mænd,Befolkningen ultimo forrige år,Høje-Taastrup,2017,25207
Mænd,Befolkningen ultimo forrige år,Ishøj,2006,10402
Mænd,Befolkningen ultimo forrige år,Ishøj,2007,10336
Mænd,Befolkningen ultimo forrige år,Ishøj,2008,10327
Mænd,Befolkningen ultimo forrige år,Ishøj,2009,10361
Mænd,Befolkningen ultimo forrige år,Ishøj,2010,10270
Mænd,Befolkningen ultimo forrige år,Ishøj,2011,10349
Mænd,Befolkningen ultimo forrige år,Ishøj,2012,10470
Mænd,Befolkningen ultimo forrige år,Ishøj,2013,10540
Mænd,Befolkningen ultimo forrige år,Ishøj,2014,10785
Mænd,Befolkningen ultimo forrige år,Ishøj,2015,11045
Mænd,Befolkningen ultimo forrige år,Ishøj,2016,11198
Mænd,Befolkningen ultimo forrige år,Ishøj,2017,11369
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2006,24763
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2007,24742
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2008,24657
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2009,24713
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2010,25153
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2011,25415
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2012,25701
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2013,26077
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2014,26193
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2015,26540
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2016,26821
Mænd,Befolkningen ultimo forrige år,Lyngby-Taarbæk,2017,26910
Mænd,Befolkningen ultimo forrige år,Rødovre,2006,17611
Mænd,Befolkningen ultimo forrige år,Rødovre,2007,17561
Mænd,Befolkningen ultimo forrige år,Rødovre,2008,17545
Mænd,Befolkningen ultimo forrige år,Rødovre,2009,17518
Mænd,Befolkningen ultimo forrige år,Rødovre,2010,17533
Mænd,Befolkningen ultimo forrige år,Rødovre,2011,17732
Mænd,Befolkningen ultimo forrige år,Rødovre,2012,17902
Mænd,Befolkningen ultimo forrige år,Rødovre,2013,18222
Mænd,Befolkningen ultimo forrige år,Rødovre,2014,18279
Mænd,Befolkningen ultimo forrige år,Rødovre,2015,18428
Mænd,Befolkningen ultimo forrige år,Rødovre,2016,18532
Mænd,Befolkningen ultimo forrige år,Rødovre,2017,18790
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2006,6113
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2007,6060
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2008,6188
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2009,6653
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2010,7012
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2011,7197
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2012,7247
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2013,7359
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2014,7547
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2015,7587
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2016,7705
Mænd,Befolkningen ultimo forrige år,Vallensbæk,2017,7835
Mænd,Befolkningen ultimo forrige år,Allerød,2006,11611
Mænd,Befolkningen ultimo forrige år,Allerød,2007,11677
Mænd,Befolkningen ultimo forrige år,Allerød,2008,11597
Mænd,Befolkningen ultimo forrige år,Allerød,2009,11737
Mænd,Befolkningen ultimo forrige år,Allerød,2010,11812
Mænd,Befolkningen ultimo forrige år,Allerød,2011,11813
Mænd,Befolkningen ultimo forrige år,Allerød,2012,11793
Mænd,Befolkningen ultimo forrige år,Allerød,2013,11776
Mænd,Befolkningen ultimo forrige år,Allerød,2014,11814
Mænd,Befolkningen ultimo forrige år,Allerød,2015,11934
Mænd,Befolkningen ultimo forrige år,Allerød,2016,12105
Mænd,Befolkningen ultimo forrige år,Allerød,2017,12252
Mænd,Befolkningen ultimo forrige år,Egedal,2006,19914
Mænd,Befolkningen ultimo forrige år,Egedal,2007,19984
Mænd,Befolkningen ultimo forrige år,Egedal,2008,20195
Mænd,Befolkningen ultimo forrige år,Egedal,2009,20396
Mænd,Befolkningen ultimo forrige år,Egedal,2010,20575
Mænd,Befolkningen ultimo forrige år,Egedal,2011,20630
Mænd,Befolkningen ultimo forrige år,Egedal,2012,20707
Mænd,Befolkningen ultimo forrige år,Egedal,2013,20859
Mænd,Befolkningen ultimo forrige år,Egedal,2014,20931
Mænd,Befolkningen ultimo forrige år,Egedal,2015,21120
Mænd,Befolkningen ultimo forrige år,Egedal,2016,21255
Mænd,Befolkningen ultimo forrige år,Egedal,2017,21421
Mænd,Befolkningen ultimo forrige år,Fredensborg,2006,18993
Mænd,Befolkningen ultimo forrige år,Fredensborg,2007,19065
Mænd,Befolkningen ultimo forrige år,Fredensborg,2008,19027
Mænd,Befolkningen ultimo forrige år,Fredensborg,2009,19016
Mænd,Befolkningen ultimo forrige år,Fredensborg,2010,18989
Mænd,Befolkningen ultimo forrige år,Fredensborg,2011,19005
Mænd,Befolkningen ultimo forrige år,Fredensborg,2012,19118
Mænd,Befolkningen ultimo forrige år,Fredensborg,2013,19113
Mænd,Befolkningen ultimo forrige år,Fredensborg,2014,19253
Mænd,Befolkningen ultimo forrige år,Fredensborg,2015,19296
Mænd,Befolkningen ultimo forrige år,Fredensborg,2016,19470
Mænd,Befolkningen ultimo forrige år,Fredensborg,2017,19601
Mænd,Befolkningen ultimo forrige år,Frederikssund,2006,21813
Mænd,Befolkningen ultimo forrige år,Frederikssund,2007,21828
Mænd,Befolkningen ultimo forrige år,Frederikssund,2008,21907
Mænd,Befolkningen ultimo forrige år,Frederikssund,2009,21972
Mænd,Befolkningen ultimo forrige år,Frederikssund,2010,21894
Mænd,Befolkningen ultimo forrige år,Frederikssund,2011,21982
Mænd,Befolkningen ultimo forrige år,Frederikssund,2012,21958
Mænd,Befolkningen ultimo forrige år,Frederikssund,2013,21958
Mænd,Befolkningen ultimo forrige år,Frederikssund,2014,21951
Mænd,Befolkningen ultimo forrige år,Frederikssund,2015,22007
Mænd,Befolkningen ultimo forrige år,Frederikssund,2016,22173
Mænd,Befolkningen ultimo forrige år,Frederikssund,2017,22358
Mænd,Befolkningen ultimo forrige år,Furesø,2006,18163
Mænd,Befolkningen ultimo forrige år,Furesø,2007,18284
Mænd,Befolkningen ultimo forrige år,Furesø,2008,18284
Mænd,Befolkningen ultimo forrige år,Furesø,2009,18393
Mænd,Befolkningen ultimo forrige år,Furesø,2010,18528
Mænd,Befolkningen ultimo forrige år,Furesø,2011,18616
Mænd,Befolkningen ultimo forrige år,Furesø,2012,18565
Mænd,Befolkningen ultimo forrige år,Furesø,2013,18592
Mænd,Befolkningen ultimo forrige år,Furesø,2014,18768
Mænd,Befolkningen ultimo forrige år,Furesø,2015,19051
Mænd,Befolkningen ultimo forrige år,Furesø,2016,19613
Mænd,Befolkningen ultimo forrige år,Furesø,2017,19868
Mænd,Befolkningen ultimo forrige år,Gribskov,2006,20175
Mænd,Befolkningen ultimo forrige år,Gribskov,2007,20146
Mænd,Befolkningen ultimo forrige år,Gribskov,2008,20189
Mænd,Befolkningen ultimo forrige år,Gribskov,2009,20224
Mænd,Befolkningen ultimo forrige år,Gribskov,2010,20285
Mænd,Befolkningen ultimo forrige år,Gribskov,2011,20245
Mænd,Befolkningen ultimo forrige år,Gribskov,2012,20157
Mænd,Befolkningen ultimo forrige år,Gribskov,2013,20205
Mænd,Befolkningen ultimo forrige år,Gribskov,2014,20272
Mænd,Befolkningen ultimo forrige år,Gribskov,2015,20322
Mænd,Befolkningen ultimo forrige år,Gribskov,2016,20474
Mænd,Befolkningen ultimo forrige år,Gribskov,2017,20525
Mænd,Befolkningen ultimo forrige år,Halsnæs,2006,15262
Mænd,Befolkningen ultimo forrige år,Halsnæs,2007,15359
Mænd,Befolkningen ultimo forrige år,Halsnæs,2008,15352
Mænd,Befolkningen ultimo forrige år,Halsnæs,2009,15452
Mænd,Befolkningen ultimo forrige år,Halsnæs,2010,15456
Mænd,Befolkningen ultimo forrige år,Halsnæs,2011,15447
Mænd,Befolkningen ultimo forrige år,Halsnæs,2012,15399
Mænd,Befolkningen ultimo forrige år,Halsnæs,2013,15325
Mænd,Befolkningen ultimo forrige år,Halsnæs,2014,15266
Mænd,Befolkningen ultimo forrige år,Halsnæs,2015,15332
Mænd,Befolkningen ultimo forrige år,Halsnæs,2016,15510
Mænd,Befolkningen ultimo forrige år,Halsnæs,2017,15556
Mænd,Befolkningen ultimo forrige år,Helsingør,2006,30016
Mænd,Befolkningen ultimo forrige år,Helsingør,2007,29848
Mænd,Befolkningen ultimo forrige år,Helsingør,2008,29768
Mænd,Befolkningen ultimo forrige år,Helsingør,2009,29870
Mænd,Befolkningen ultimo forrige år,Helsingør,2010,29883
Mænd,Befolkningen ultimo forrige år,Helsingør,2011,30022
Mænd,Befolkningen ultimo forrige år,Helsingør,2012,30064
Mænd,Befolkningen ultimo forrige år,Helsingør,2013,30118
Mænd,Befolkningen ultimo forrige år,Helsingør,2014,29991
Mænd,Befolkningen ultimo forrige år,Helsingør,2015,30023
Mænd,Befolkningen ultimo forrige år,Helsingør,2016,30263
Mænd,Befolkningen ultimo forrige år,Helsingør,2017,30472
Mænd,Befolkningen ultimo forrige år,Hillerød,2006,22308
Mænd,Befolkningen ultimo forrige år,Hillerød,2007,22683
Mænd,Befolkningen ultimo forrige år,Hillerød,2008,22783
Mænd,Befolkningen ultimo forrige år,Hillerød,2009,22988
Mænd,Befolkningen ultimo forrige år,Hillerød,2010,23222
Mænd,Befolkningen ultimo forrige år,Hillerød,2011,23404
Mænd,Befolkningen ultimo forrige år,Hillerød,2012,23523
Mænd,Befolkningen ultimo forrige år,Hillerød,2013,23574
Mænd,Befolkningen ultimo forrige år,Hillerød,2014,23742
Mænd,Befolkningen ultimo forrige år,Hillerød,2015,24024
Mænd,Befolkningen ultimo forrige år,Hillerød,2016,24360
Mænd,Befolkningen ultimo forrige år,Hillerød,2017,24625
Mænd,Befolkningen ultimo forrige år,Hørsholm,2006,11538
Mænd,Befolkningen ultimo forrige år,Hørsholm,2007,11526
Mænd,Befolkningen ultimo forrige år,Hørsholm,2008,11392
Mænd,Befolkningen ultimo forrige år,Hørsholm,2009,11467
Mænd,Befolkningen ultimo forrige år,Hørsholm,2010,11495
Mænd,Befolkningen ultimo forrige år,Hørsholm,2011,11494
Mænd,Befolkningen ultimo forrige år,Hørsholm,2012,11449
Mænd,Befolkningen ultimo forrige år,Hørsholm,2013,11519
Mænd,Befolkningen ultimo forrige år,Hørsholm,2014,11596
Mænd,Befolkningen ultimo forrige år,Hørsholm,2015,11690
Mænd,Befolkningen ultimo forrige år,Hørsholm,2016,11708
Mænd,Befolkningen ultimo forrige år,Hørsholm,2017,11766
Mænd,Befolkningen ultimo forrige år,Rudersdal,2006,26207
Mænd,Befolkningen ultimo forrige år,Rudersdal,2007,26028
Mænd,Befolkningen ultimo forrige år,Rudersdal,2008,25999
Mænd,Befolkningen ultimo forrige år,Rudersdal,2009,26028
Mænd,Befolkningen ultimo forrige år,Rudersdal,2010,26247
Mænd,Befolkningen ultimo forrige år,Rudersdal,2011,26428
Mænd,Befolkningen ultimo forrige år,Rudersdal,2012,26398
Mænd,Befolkningen ultimo forrige år,Rudersdal,2013,26530
Mænd,Befolkningen ultimo forrige år,Rudersdal,2014,26665
Mænd,Befolkningen ultimo forrige år,Rudersdal,2015,26981
Mænd,Befolkningen ultimo forrige år,Rudersdal,2016,27130
Mænd,Befolkningen ultimo forrige år,Rudersdal,2017,27280
Mænd,Befolkningen ultimo forrige år,Bornholm,2006,21340
Mænd,Befolkningen ultimo forrige år,Bornholm,2007,21235
Mænd,Befolkningen ultimo forrige år,Bornholm,2008,21080
Mænd,Befolkningen ultimo forrige år,Bornholm,2009,20997
Mænd,Befolkningen ultimo forrige år,Bornholm,2010,20809
Mænd,Befolkningen ultimo forrige år,Bornholm,2011,20646
Mænd,Befolkningen ultimo forrige år,Bornholm,2012,20379
Mænd,Befolkningen ultimo forrige år,Bornholm,2013,20128
Mænd,Befolkningen ultimo forrige år,Bornholm,2014,19865
Mænd,Befolkningen ultimo forrige år,Bornholm,2015,19716
Mænd,Befolkningen ultimo forrige år,Bornholm,2016,19687
Mænd,Befolkningen ultimo forrige år,Bornholm,2017,19652
Mænd,Befolkningen ultimo forrige år,Christiansø,2006,46
Mænd,Befolkningen ultimo forrige år,Christiansø,2007,49
Mænd,Befolkningen ultimo forrige år,Christiansø,2008,49
Mænd,Befolkningen ultimo forrige år,Christiansø,2009,50
Mænd,Befolkningen ultimo forrige år,Christiansø,2010,53
Mænd,Befolkningen ultimo forrige år,Christiansø,2011,49
Mænd,Befolkningen ultimo forrige år,Christiansø,2012,54
Mænd,Befolkningen ultimo forrige år,Christiansø,2013,49
Mænd,Befolkningen ultimo forrige år,Christiansø,2014,48
Mænd,Befolkningen ultimo forrige år,Christiansø,2015,48
Mænd,Befolkningen ultimo forrige år,Christiansø,2016,48
Mænd,Befolkningen ultimo forrige år,Christiansø,2017,44
Mænd,Befolkningen ultimo forrige år,Greve,2006,23675
Mænd,Befolkningen ultimo forrige år,Greve,2007,23557
Mænd,Befolkningen ultimo forrige år,Greve,2008,23572
Mænd,Befolkningen ultimo forrige år,Greve,2009,23671
Mænd,Befolkningen ultimo forrige år,Greve,2010,23580
Mænd,Befolkningen ultimo forrige år,Greve,2011,23631
Mænd,Befolkningen ultimo forrige år,Greve,2012,23657
Mænd,Befolkningen ultimo forrige år,Greve,2013,23663
Mænd,Befolkningen ultimo forrige år,Greve,2014,23703
Mænd,Befolkningen ultimo forrige år,Greve,2015,24094
Mænd,Befolkningen ultimo forrige år,Greve,2016,24435
Mænd,Befolkningen ultimo forrige år,Greve,2017,24604
Mænd,Befolkningen ultimo forrige år,Køge,2006,27531
Mænd,Befolkningen ultimo forrige år,Køge,2007,27803
Mænd,Befolkningen ultimo forrige år,Køge,2008,27997
Mænd,Befolkningen ultimo forrige år,Køge,2009,28108
Mænd,Befolkningen ultimo forrige år,Køge,2010,28217
Mænd,Befolkningen ultimo forrige år,Køge,2011,28302
Mænd,Befolkningen ultimo forrige år,Køge,2012,28318
Mænd,Befolkningen ultimo forrige år,Køge,2013,28566
Mænd,Befolkningen ultimo forrige år,Køge,2014,28877
Mænd,Befolkningen ultimo forrige år,Køge,2015,29304
Mænd,Befolkningen ultimo forrige år,Køge,2016,29677
Mænd,Befolkningen ultimo forrige år,Køge,2017,29846
Mænd,Befolkningen ultimo forrige år,Lejre,2006,13068
Mænd,Befolkningen ultimo forrige år,Lejre,2007,13178
Mænd,Befolkningen ultimo forrige år,Lejre,2008,13282
Mænd,Befolkningen ultimo forrige år,Lejre,2009,13347
Mænd,Befolkningen ultimo forrige år,Lejre,2010,13364
Mænd,Befolkningen ultimo forrige år,Lejre,2011,13327
Mænd,Befolkningen ultimo forrige år,Lejre,2012,13370
Mænd,Befolkningen ultimo forrige år,Lejre,2013,13423
Mænd,Befolkningen ultimo forrige år,Lejre,2014,13461
Mænd,Befolkningen ultimo forrige år,Lejre,2015,13581
Mænd,Befolkningen ultimo forrige år,Lejre,2016,13672
Mænd,Befolkningen ultimo forrige år,Lejre,2017,13718
Mænd,Befolkningen ultimo forrige år,Roskilde,2006,39471
Mænd,Befolkningen ultimo forrige år,Roskilde,2007,39719
Mænd,Befolkningen ultimo forrige år,Roskilde,2008,39587
Mænd,Befolkningen ultimo forrige år,Roskilde,2009,39908
Mænd,Befolkningen ultimo forrige år,Roskilde,2010,40227
Mænd,Befolkningen ultimo forrige år,Roskilde,2011,40544
Mænd,Befolkningen ultimo forrige år,Roskilde,2012,40839
Mænd,Befolkningen ultimo forrige år,Roskilde,2013,41017
Mænd,Befolkningen ultimo forrige år,Roskilde,2014,41341
Mænd,Befolkningen ultimo forrige år,Roskilde,2015,41796
Mænd,Befolkningen ultimo forrige år,Roskilde,2016,42438
Mænd,Befolkningen ultimo forrige år,Roskilde,2017,42856
Mænd,Befolkningen ultimo forrige år,Solrød,2006,10374
Mænd,Befolkningen ultimo forrige år,Solrød,2007,10350
Mænd,Befolkningen ultimo forrige år,Solrød,2008,10255
Mænd,Befolkningen ultimo forrige år,Solrød,2009,10239
Mænd,Befolkningen ultimo forrige år,Solrød,2010,10308
Mænd,Befolkningen ultimo forrige år,Solrød,2011,10357
Mænd,Befolkningen ultimo forrige år,Solrød,2012,10434
Mænd,Befolkningen ultimo forrige år,Solrød,2013,10434
Mænd,Befolkningen ultimo forrige år,Solrød,2014,10540
Mænd,Befolkningen ultimo forrige år,Solrød,2015,10648
Mænd,Befolkningen ultimo forrige år,Solrød,2016,10803
Mænd,Befolkningen ultimo forrige år,Solrød,2017,10975
Mænd,Befolkningen ultimo forrige år,Faxe,2006,17215
Mænd,Befolkningen ultimo forrige år,Faxe,2007,17513
Mænd,Befolkningen ultimo forrige år,Faxe,2008,17698
Mænd,Befolkningen ultimo forrige år,Faxe,2009,17762
Mænd,Befolkningen ultimo forrige år,Faxe,2010,17707
Mænd,Befolkningen ultimo forrige år,Faxe,2011,17664
Mænd,Befolkningen ultimo forrige år,Faxe,2012,17647
Mænd,Befolkningen ultimo forrige år,Faxe,2013,17673
Mænd,Befolkningen ultimo forrige år,Faxe,2014,17688
Mænd,Befolkningen ultimo forrige år,Faxe,2015,17742
Mænd,Befolkningen ultimo forrige år,Faxe,2016,18127
Mænd,Befolkningen ultimo forrige år,Faxe,2017,18220
Mænd,Befolkningen ultimo forrige år,Guldborgsund,2006,31420
